customer_id,current_income,emi_amount,credit_limit,credit_utilization,income_drop_pct,balance_drop_pct,emi_to_income_ratio,failed_autodebit,discretionary_spend_drop,default_next_30_days
41,81311.04870845059,13356,177157,0.6742266534810784,0.008223854092514348,0.09816228827704819,0.16425812004822812,0,0.15272115883195217,0
42,45192.060668658436,17880,229357,0.862855097087966,0.28140249243036436,0.48936695567570254,0.3956447158073525,2,0.5160607744896887,1
43,73717.28182038815,13041,66725,0.3778363582324745,0.07580985618560031,0.03706603408305951,0.17690560039604203,0,0.14380918103684912,0
44,28861.125880392552,22717,209841,0.8087068346509365,0.3146731111652512,0.3258260528168305,0.7871141304100441,1,0.3227800231108866,1
45,57487.24858703703,6252,136123,0.4447124818215702,-0.04555444886208071,0.01379898205817868,0.10875455259498681,0,0.04424188836392045,0
46,148083.18511745866,29428,293225,0.6424991782616405,0.043177998773940865,-0.03749301340704267,0.19872614150389792,0,0.10605302652698004,0
47,117789.79062872013,25662,73510,0.23501485287373552,0.06554687909710676,-0.0037608628928289083,0.21786268455886834,0,0.001897086725699615,0
48,74330.18717650988,23416,111916,0.6551695510287672,0.008836455562686979,-0.23480236032488777,0.3150267864171344,0,0.009020135444064636,0
49,22687.844209019608,20152,172744,0.714460669140849,0.30506799008214197,0.38740237344786066,0.8882289482571695,1,0.36489720691096605,1
50,47965.51510022459,16362,243555,0.7822628413424677,0.4153436800344009,0.3240258280314643,0.3411200727399962,1,0.46525721118274177,1
51,84233.35519087163,20585,75559,0.3226427661276673,-0.06405056392387012,0.036877113688148666,0.244380625149677,0,0.0314681319405052,0
52,116783.0690276453,11924,214202,0.45373386688041806,-0.011726240932171119,-0.06354129802936088,0.10210384175789479,0,0.001277174343366716,0
53,115877.22788177639,14882,247744,0.3729415284764783,-0.03970932903673648,0.021046650615778296,0.12842903020758611,0,0.12418310355349543,0
54,97433.76234859021,27737,117889,0.7328337816023445,0.388354587699515,0.40369835182685687,0.28467544854487836,1,0.5852590686751231,1
55,147976.74491259464,5988,103268,0.5805119954714995,-0.13699835190195314,-0.042669205111267886,0.04046581781169013,0,0.12524406432628307,0
56,82145.2734593388,11059,288260,0.8892648169028058,0.2663425314085411,0.2750565395593747,0.13462734414627164,2,0.5339552966680049,1
57,41958.138325748296,22162,214053,0.9378874935888317,0.2793482369100014,0.5094503817545409,0.5281931201985653,1,0.5119427179460703,1
58,32758.434620268417,23440,286293,0.5657947608776659,0.044409547354225816,-0.16393580308726433,0.7155409063868124,0,0.016325996406117916,0
59,109753.80345139575,12179,191398,0.2997712254645726,-0.004785015013520032,-0.011573422797804014,0.11096654163236762,0,0.13604564848625827,0
60,139635.4048256557,21309,105230,0.4988617826279321,-0.013435221448212633,0.18553202694404253,0.15260456348163084,0,0.15859121892112632,0
61,49779.470494266854,17201,79426,0.7408809681462556,0.36478130125025615,0.5575632110719748,0.345544053185159,1,0.3936444170089341,1
62,96186.66160833111,25740,289614,0.5533886084427229,0.09284414938837407,-0.0675801855746201,0.26760467168319474,0,0.03340838158018997,0
63,110737.14493888915,14499,266184,0.21967177033425483,-0.1866697948235168,-0.025405530787104714,0.13093167615980478,0,0.02442198280200536,0
64,119138.25019882059,15724,209476,0.4218751096522856,0.05582706514833772,-0.018954575813313158,0.13198112255098118,0,0.17362845087550108,0
65,141151.77457656444,22582,98320,0.5024769613452704,-0.004926917614117211,0.04894489456545227,0.15998381931607192,0,0.0636223107236239,0
66,94942.15796774431,12848,268200,0.4722445489804247,-0.03162829854442085,0.03602421960557276,0.13532449941115712,0,0.0011517320996243142,0
67,37513.6472752579,28616,77723,0.6316668247859125,-0.05075428533496128,0.06730124158311236,0.7628157238358869,0,0.10381635702724362,0
68,142916.0837979959,6177,185832,0.3900372544686026,-0.10496704513247913,-0.01582333427391744,0.04322116752604873,0,0.03943082531457547,0
69,150401.39964059423,9882,227953,0.2922925647685165,-0.01859970200845591,-0.09434603608472553,0.06570417578303434,0,0.05905565784406202,0
70,78913.50165723418,29489,255244,0.6529455523938801,0.0588014632550686,0.24109107466419316,0.3736876374855009,0,0.1539889400503358,0
71,147793.30945428708,8225,177834,0.28922298261388607,-0.051728165900525314,0.06603856860940643,0.05565204561945355,0,0.062454357209759205,0
72,90106.06451057464,5987,90390,0.8613224593814292,0.2037159941477498,0.4367778695480884,0.06644391842568355,2,0.35756019741562284,1
73,61997.32683336957,26856,191178,0.6977402453521284,0.045198868678392075,0.21278065819615594,0.4331799671327921,0,0.08927047023952844,0
74,64493.8133278138,5661,225915,0.7319283709088087,0.2739498770377119,0.4147384383815441,0.08777586109268902,2,0.4520515295461448,1
75,38287.877366551,24169,168413,0.4505764995910048,0.02170945433076209,-0.08075159117230468,0.6312441864723085,0,0.07943575548584221,0
76,53727.97983284146,26932,84594,0.2662623363709242,0.04395319683659323,0.004741423236138354,0.5012658224595613,0,0.17240289645452453,0
77,87824.01455526659,13286,55901,0.7479456138979651,0.3947439957486041,0.37674101061877674,0.15127980732011836,1,0.3174491386516427,1
78,128450.68084709565,22073,227404,0.46352073195582577,-0.05055214777483667,0.12996819511995922,0.1718402725033052,0,0.0852166767780743,0
79,45252.00047520337,14700,82371,0.26855485286449954,0.08240476288104687,0.06147096828243793,0.32484751714026705,0,0.10706202629051834,0
80,126066.80095406121,27740,109353,0.6776673432519641,-0.050195888290411425,-0.2461230042104646,0.22004207126750575,0,0.15738067725105903,0
81,66995.32510487939,11272,245713,0.21901092411872747,-0.15290671648545257,0.03437423032617472,0.1682505455769337,0,0.14924145149636772,0
82,48275.46298236451,12788,78082,0.8609760633852827,0.21838068250324005,0.434555732319379,0.26489647555884815,2,0.44347658837277715,1
83,37847.2108882325,29945,96857,0.28184190073265075,-0.05948157316877815,-0.05846900531625698,0.7912075763900092,0,0.05475826150282131,0
84,44879.845478471754,19036,126971,0.3346656491510125,-0.0027425357647890523,0.20017440222015942,0.42415475804459507,0,0.10791124409910102,0
85,78991.92487885446,24921,194129,0.4169002561273859,0.01855010605611093,0.04498226502696556,0.3154879443464627,0,0.03216963479154924,0
86,134636.4438377029,27656,105147,0.6163402346735216,-0.0305035367863414,-0.10627248644856223,0.20541243671986648,0,0.002206322852493159,0
87,39342.798156897145,24873,90372,0.2464953199115661,0.034730947739411655,-0.10423439276417042,0.6322122768392756,0,0.1176404533896781,0
88,94829.75036537746,8292,275805,0.5924484885557337,0.0066195010686180954,0.09275159173856873,0.08744091351133015,0,0.14153618694818315,0
89,52043.89411307171,22251,295439,0.7959582379832609,0.20442160805870302,0.4147254409318545,0.42754294964279554,1,0.5850938258791775,1
90,128399.2279987201,27008,276876,0.44823057617764983,0.09744632738166713,0.015140126785611233,0.2103439438145938,0,0.08737014052303592,0
91,94203.47158400457,15851,92821,0.21680680009164133,0.03444104840421455,0.12381450236151019,0.16826343799724092,0,0.012530640691070905,0
92,46511.93770041355,22258,153864,0.6897754201908783,-0.02261689647767076,-0.21353263728296232,0.47854381263075385,0,0.02899301447596341,0
93,94940.83825392109,6753,172788,0.8211740717825117,0.3143519898498171,0.45332537302157955,0.071128506174961,1,0.3422878882565308,1
94,42549.53212683153,18368,118673,0.4596929297519686,0.11314453844821531,0.01178283326216882,0.43168512277053284,0,0.040976254830142514,0
95,85389.27837239794,23133,196011,0.7891677435354412,0.3743246459532775,0.43782102185639554,0.2709122320850733,1,0.4732780097643472,1
96,38461.11112157726,11710,202456,0.38184656237807013,0.005250531929204365,0.05261813121186551,0.3044633828436255,0,0.14652704694016658,0
97,48135.67964106356,25074,271796,0.21468207955119617,0.07298136223696791,-0.10361276612776311,0.5209025859190297,0,0.16459168924429723,0
98,57307.03979743667,28172,82994,0.3221699703932331,-0.03940287407042792,-0.2121323424139258,0.4915975436801418,0,0.022588641682234713,0
99,128980.39984620459,29765,145648,0.3625520077158495,-0.09376750377464642,0.05542021533955729,0.23077149733984076,0,0.1372654393372195,0
100,31681.66623308892,6958,126229,0.3163815735506444,-0.07218173095750849,-0.06840761531760843,0.21962228718680635,0,0.16147920606799027,0
101,60123.615875051284,28758,191521,0.8553361243133824,0.28777303331334275,0.2625546019259093,0.47831454548184177,1,0.39142532861584,1
102,107566.30488796374,22915,128610,0.29266508976435723,0.03291882153567199,0.0616718037989479,0.21303139513686226,0,0.015793832438165723,0
103,49016.146528563724,14277,147136,0.811311528071197,0.22772728107327284,0.4932671252777053,0.2912713669092736,1,0.5107901319256549,1
104,36080.277093484794,23230,198934,0.8174359407476709,0.37508717161840516,0.48273365047157457,0.6438420619611805,2,0.38420496465479226,1
105,77049.12996501748,10808,187868,0.7112133920058921,0.42224700364876394,0.42728730430987755,0.14027413424275062,1,0.33944673596939445,1
106,61665.06850289733,25012,242512,0.8490803797150921,0.3064260334856981,0.3720481356822587,0.4056105118706681,2,0.5253534143425254,1
107,134128.82033577608,21715,225481,0.6512266536429208,0.039232605681946864,0.02624964184712043,0.16189660019106256,0,0.013288768871154977,0
108,23283.09574025598,11439,72785,0.7960599050343453,0.3527283457363898,0.4237528754636538,0.49130064694198766,1,0.5572687012983851,1
109,44277.158923926785,26544,118670,0.910430840436169,0.36278104508691855,0.33158710540596276,0.5994964592377217,2,0.5964107898466775,1
110,129643.90696759411,22438,229587,0.5014714382397307,-0.09802025140153812,0.006128762127726815,0.17307408057062504,0,0.1653414719482975,0
111,47602.51600323217,25538,113918,0.49023380049684795,0.023645071649625846,-0.13111899366407107,0.5364842479810519,0,0.027839340269139104,0
112,80626.90172071267,10004,108478,0.3767303702733912,0.03486625569986524,-0.19106806588900516,0.12407769350549185,0,0.09169328491385156,0
113,78583.42981775862,17021,236762,0.8139948189399842,0.232764128981558,0.43985432164427896,0.21659782526002094,2,0.5482556766318909,1
114,36489.474020906506,24203,91862,0.4642890548610985,0.045995099072808826,0.21084105951155194,0.663287171147849,0,0.15867880286106956,0
115,59058.47211538003,17306,172225,0.5615747432323147,0.024874690509097387,0.10328288252351428,0.2930316240858721,0,0.05606689215830418,0
116,39253.87292932432,7014,182453,0.3405022494543568,0.006553988853573143,0.04741748605650766,0.17868300569038226,0,0.16069654865937694,0
117,100378.99788969959,25349,285062,0.5123919313947012,-0.015289315213618301,0.03741342235495928,0.2525329056169148,0,0.014355161245302606,0
118,30411.922153362135,17145,261981,0.5743226170631,-0.09398595330588418,-0.014263517109217945,0.5637591702865965,0,0.06351735905222333,0
119,82958.73633939556,28545,297644,0.3886568307031618,-0.0012285765752045896,0.03156744546739558,0.3440867262396391,0,0.18726423079383137,0
120,108620.9575771059,15640,82441,0.8081822840049261,0.22709730385262206,0.2988964275524424,0.14398694643156462,1,0.33329325737554444,1
121,107026.67196581971,11093,173106,0.8612081510055785,0.1939401479122973,0.4296170740126656,0.10364706101991741,1,0.5046581641879831,0
122,64642.463906810524,22845,104336,0.816023789863376,0.2876476223861865,0.43086774013564155,0.35340546475662915,2,0.3124970455148047,1
123,36300.26825784369,17096,201379,0.7058987411613822,0.12233879835498705,0.425373989468363,0.47096070691725345,1,0.5489289360862935,0
124,55310.39282484224,20064,78151,0.5254786675590363,-0.08329298755781789,0.13938039084833023,0.36275280241706054,0,0.12891823494846874,0
125,93758.4895052021,28067,99429,0.34525225283571015,-0.09700489908893498,-0.09474828639814903,0.2993542253946266,0,0.09399765363158732,0
126,47228.025684177665,29734,130360,0.41640800110473464,0.08685191977230693,0.11399567296261257,0.629583802609845,0,0.008779988528601025,0
127,68480.44443599386,10637,247724,0.5111716323086231,0.03668709747382381,-0.008694092335040553,0.15532901527737616,0,0.19623556735245892,0
128,87218.80291897536,5619,280258,0.4494478322679709,-0.026314648541170795,0.027545481162066655,0.06442418162079049,0,0.0024206233552214853,0
129,31972.78666649919,25003,199092,0.9296066080363521,0.41818771475714533,0.341481403810375,0.7820087833068967,1,0.4333096047724543,1
130,41453.77295145949,24149,180064,0.8068754578320279,0.14687864992297073,0.45277484022883124,0.5825525224996383,2,0.5276328761271976,0
131,142690.44169058825,6132,149003,0.23557914258671642,0.01629366603461048,-0.0026998296331606224,0.0429741468829195,0,0.013801518522563262,0
132,109495.32246434588,17258,150772,0.20000581737768308,-0.02214869367384661,-0.12044672565403808,0.15761403876973457,0,0.08331316569645844,0
133,105427.2461107921,10445,84148,0.6997719593595471,0.0021344378113069547,0.10810142187759554,0.09907306114231124,0,0.08115023372301221,0
134,36302.37883852328,10141,78884,0.933231215642418,0.3249874340994881,0.3633508229824527,0.27934808473869477,2,0.3477075011220784,1
135,119690.62293878414,12263,176374,0.35599201016320925,0.006700342943038268,0.21193288309136893,0.10245581231766102,0,0.09650008404707214,0
136,109328.1802713977,22951,179887,0.6807566694915423,0.014980831974090933,0.15808266254239656,0.20992757716287,0,0.14288215272531965,0
137,64803.53597683288,7763,233887,0.8076350523767974,0.24554997153572136,0.43913139685428537,0.11979284591469291,2,0.4213582156721609,1
138,134292.38241137168,5887,81802,0.416009463797253,-0.03275858665168667,0.04920682742168273,0.04383718491169978,0,0.19607374818843704,0
139,80901.78255334875,10788,279577,0.5018186002796875,0.03536288904393721,-0.012304719007958022,0.13334687641630283,0,0.015395893412993257,0
140,119407.05821665617,6518,80949,0.20100925887411697,0.03818616475649473,-0.16823563123539065,0.054586387918321565,0,0.034816335062285854,0
141,34550.88782664137,14369,260904,0.5086245104243627,-0.03007636575154231,0.11551909075007637,0.4158793276773747,0,0.14788164596626238,0
142,59642.44890549608,13367,120821,0.2996351682334004,-0.022230027882539593,0.10429053219131375,0.22411889929570322,0,0.1754940093308964,0
143,89616.75596660397,26550,153423,0.4467504960772041,-0.0035389699819520504,0.049875125285386464,0.2962615608390685,0,0.05666095248498613,0
144,138708.74710051855,16949,257234,0.6168215670719792,0.09509147625263832,-0.12523627358613512,0.12219128464708508,0,0.09988635397336708,0
145,126452.92458473299,10738,55668,0.27974613127067915,-0.04200935804620048,-0.06623676002476347,0.08491697629978286,0,0.03209252285424529,0
146,87804.20398043384,7032,216601,0.7579458975723374,0.4193223907331664,0.37417046814661814,0.08008728148787728,1,0.3307703887750769,1
147,31345.845836610737,22413,163650,0.5703130744471852,-0.06543415941244395,-0.1871545132060739,0.7150229767870064,0,0.1725944797973925,0
148,45246.99471648299,19955,225121,0.8429780509626501,0.37971089380717843,0.46270457819949756,0.4410237657779868,1,0.4670635329516287,1
149,43116.643074449144,24744,265997,0.27142098240716594,0.07079724347771675,0.10256239023124103,0.5738851226723459,0,0.1384147294048738,0
150,95462.68212404576,26772,108692,0.4325276241503222,-0.005532289766799784,-0.007164361622673632,0.2804446659607995,0,0.17483413643140522,0
151,56866.802503367166,15738,75963,0.4252392857352977,0.05498521082225157,-0.12294486712107464,0.27675197667511076,0,0.10267364204498311,0
152,116392.22598282719,7382,230755,0.23323166288813607,-0.024324041407411113,-0.016216256939198904,0.06342347985585531,0,0.15330300990651693,0
153,50145.44820810499,27841,215732,0.644563961970005,-0.20588743819250355,-0.06056054640246333,0.5552049287596171,0,0.11576135090238811,0
154,57058.974555365145,25029,237305,0.3913993822181939,-0.05723282616650305,0.09961947632193283,0.4386514162765754,0,0.16436618931707186,0
155,146432.76221918227,12485,212527,0.6916528284092336,0.03791749516377087,-0.2862797785399995,0.08526097446220611,0,0.15734166814146183,0
156,78102.46954690851,25324,203939,0.5740023681857016,-0.03923379477438749,-0.0164887437220899,0.32424070771271,0,0.1625427239786124,0
157,76592.96421430327,17031,219509,0.8279089294737693,0.3808009653115681,0.4074028676886166,0.2223572383534879,2,0.469018605213792,1
158,52145.71248743449,26188,279204,0.8693829034709211,0.254894068352272,0.4202576125720459,0.5022081155053831,2,0.3330189852603346,1
159,114865.45059815419,8716,86182,0.6551065174338783,0.10111902843800015,-0.07671908407724927,0.07588008365101961,0,0.12780643178298418,0
160,94309.69168173552,10213,152412,0.5453398855740033,-0.06579104836037733,-0.08384848519420451,0.1082921576550748,0,0.11935528399233793,0
161,113317.09333835254,28596,272138,0.6459465516282812,-0.0121635122720705,0.04658796868993586,0.25235380786388023,0,0.061210292704557606,0
162,147474.4992886374,6546,229297,0.6876866385732103,0.003265022720700132,0.11855964944665091,0.04438733497367674,0,0.0340230834618563,0
163,69724.0229332408,16486,88225,0.714244681749342,0.2655785394732664,0.49037569616447235,0.2364464829544471,2,0.40914289234228,1
164,125148.79335653769,10208,83455,0.3807018895335932,-0.006912766744712492,0.0010526638551669695,0.08156690708889476,0,0.17195893496232914,0
165,53767.953241313706,16151,252166,0.4854387084197381,-0.0408672496356081,-0.14514920603739848,0.3003833887355424,0,0.037054071076664745,0
166,116218.27122517914,26954,139499,0.494466537472782,-0.26448316526164534,-0.21090143229312439,0.2319256663848938,0,0.15033523440458385,0
167,28857.855685764353,15878,52985,0.8074963035302649,0.3878763465515,0.44891115579993707,0.5502141313927443,1,0.5112249813964017,1
168,125595.6844721821,11751,99649,0.31873927837612875,0.044879361597102964,-0.1593600810434133,0.0935621319266165,0,0.00992287466776749,0
169,109774.40870717885,24692,139037,0.31721280000575736,0.042936267244731686,0.04568612810771634,0.2249340287121513,0,0.06901674910264675,0
170,93215.44351030237,28666,108817,0.5390569154771043,-0.03128321281878186,0.1724543213450637,0.307524149652646,0,0.10860428617335283,0
171,126533.15955720455,10366,208395,0.33647499736574393,-0.007088322819738451,0.07336608148264205,0.08192318943330915,0,0.06828505392085966,0
172,114399.9776887479,12678,278129,0.2953049165372249,-0.14943172675591374,-0.2438106811895991,0.11082169993506019,0,0.03692649146947385,0
173,49547.813459586796,18272,210595,0.636509697014858,0.09165471981729051,-0.18645431456557596,0.3687751027581345,0,0.10462860413943305,0
174,70332.28820701397,15178,176503,0.9458918016284157,0.12404332626463266,0.2887784531070041,0.21580415463414931,1,0.30953354530719734,0
175,60698.68202814548,27484,133639,0.3812798982795472,-0.010056558878032543,-0.144525100495972,0.45279401597642427,0,0.1611429051336436,0
176,129849.64432303561,13848,295925,0.43779809591100416,-0.05715083014405265,-0.17912854585543828,0.10664642226935492,0,0.08154962100054647,0
177,84724.80269578441,7618,211215,0.7887244208716384,0.33113280060251743,0.25846388664167813,0.08991463842475307,1,0.4594983071293449,1
178,38768.09015293965,15637,150260,0.38980838222583514,0.006389233101720271,0.029009397060468286,0.40334718420000115,0,0.06331735198173023,0
179,83724.94382963765,25450,69229,0.9253957513217669,0.3879442320278354,0.39139928991132905,0.3039715386586022,2,0.39756335888286337,1
180,127869.01825376484,17734,161426,0.6988114111256927,0.05857409284806043,-0.0726415775905014,0.1386887945350895,0,0.03822641768977937,0
181,106004.1763263948,21608,112993,0.8049068457017026,0.25838998490490855,0.30706598910059835,0.20384102540891738,2,0.3641094424710985,1
182,90558.69026571646,29816,236098,0.8065303094880576,0.2372485925417899,0.24759770286003766,0.3292450444293548,2,0.34900099442671717,1
183,72437.99289494273,21848,70855,0.28068367919419157,0.030666950889395955,0.18891047320129162,0.30160968197567667,0,0.11439917565671856,0
184,49947.68346267134,27692,174954,0.9187795111395117,0.40344765343543193,0.5333770730943292,0.5544201068042677,1,0.5478194053644856,1
185,140599.77969896828,22695,91347,0.2117662472070494,0.05719095230037666,-0.15678023618047057,0.1614156156474158,0,0.08592457277936882,0
186,39852.69507111065,7176,153306,0.8072655923256664,0.3995763067902288,0.33390918475974307,0.18006310457035832,2,0.34301861100326775,1
187,66770.8565103479,9873,189707,0.8206783682692336,0.2727564838069518,0.3731269577336506,0.147863911233038,2,0.42791950704048676,1
188,83081.37690721285,21035,159975,0.8313675768389732,0.33173220728148556,0.3811545370094977,0.25318550056641886,2,0.598324580267662,1
189,78926.51749118193,7776,157615,0.6621271373015579,0.10952204013607189,-0.027076464296270107,0.09852202082612822,0,0.09213396596669783,0
190,44518.88136261291,5609,156244,0.7202596526162641,0.33247039252130955,0.47334753405685565,0.1259914855971753,1,0.5962008475738638,1
191,72439.80934198653,9042,99052,0.5503057481972258,0.09625518126977133,-0.12770911327323406,0.12482086965901502,0,0.15069442213191936,0
192,100147.69849292753,21626,136005,0.9050168755139123,0.3197628637625631,0.4632857905224949,0.2159410583112625,2,0.45696391649126245,1
193,157556.3101364347,14663,298709,0.6875899879877541,-0.11085379085643242,-0.0741324265153,0.09306513961454596,0,0.1666408713193349,0
194,59409.72998809423,15355,65989,0.2531686486741136,0.13253047432486081,-0.10351851932159571,0.2584593466941721,0,0.022827993861926424,0
195,65895.48740954483,8164,202236,0.2556043736691094,-0.10829566967596047,0.0894302403197744,0.12389315749742008,0,0.17363385906530082,0
196,85124.6201232707,10867,130820,0.8489199560403824,0.34286819116150885,0.4934116724659697,0.1276598942146617,1,0.4570990248163832,1
197,36236.74174939432,29495,114550,0.6679686241242797,-0.11406123305043424,0.002131169964671653,0.8139528714800357,0,0.13445013745883894,0
198,101863.51128948231,11089,237620,0.4212886729664077,-0.016646652790075673,-0.0015018320456031814,0.10886135633481711,0,0.009672542209756175,0
199,92671.93858386776,20882,251283,0.8357495331513173,0.2439771598822683,0.40403603771480234,0.22533250430605667,2,0.32403171798288066,1
200,30408.14971801604,23554,207550,0.46022470208264293,0.03743042377534296,-0.03421452252251705,0.7745949759660933,0,0.198916397807052,0
201,80707.32303141135,11477,106652,0.2234864955490699,0.0569069964311592,-0.015778414916139735,0.1422051874466601,0,0.18561035004576965,0
202,101959.20063119587,23203,208353,0.49384850914377293,-0.12671529481103064,0.0016636158479144628,0.227571419316333,0,0.022472896389797128,0
203,72659.0015513493,15046,120219,0.7169933249548509,0.2652693466841996,0.46056143155272516,0.20707688901239232,2,0.3178851976033977,1
204,44977.16577913178,10730,194993,0.35141494448937105,-0.03364587014232901,0.12327814952185817,0.23856549905104155,0,0.14617592466444154,0
205,73636.92808815467,10014,182447,0.5981218047281935,0.11828723836925681,-0.041882110301688126,0.13599155016368566,0,0.14700503723796468,0
206,29367.44482496154,21172,129436,0.4036827621064162,-0.006826827923980475,-0.16367189120015688,0.7209343586475173,0,0.10427540429474824,0
207,143517.00893378968,27499,152552,0.49702473278340553,0.0656735385570088,0.09298859942049653,0.19160795089233237,0,0.11793069903030953,0
208,135821.35669110768,19175,187263,0.6658702016582541,0.025236503572065597,-0.005753195336517542,0.14117809206992998,0,0.19938988348233394,0
209,42575.49702177265,16452,268206,0.3516927718145666,0.08406746617081384,0.04546094520432532,0.3864194466499504,0,0.15637818259937797,0
210,120710.55569728157,22118,72616,0.29931580693093457,-0.06422786501881056,0.17575795216631712,0.1832316972797939,0,0.1566774439991677,0
211,53303.5552157855,8432,281747,0.7243769231159688,0.324061950690613,0.4102321102421625,0.1581883228213438,2,0.504762143630147,1
